Koefisien Variasi Harga Tingkat Produsen Tahun 2022-2024,,,,,
,,,,,
Kode Wilayah,Provinsi,Komoditas,Tahun,Bulan,Koefisien Variasi
17,Bengkulu,GKP Tingkat Petani,2022,Juli,
34,D.I Yogyakarta,GKP Tingkat Petani,2022,Juli,"1,67%"
75,Gorontalo,GKP Tingkat Petani,2022,Juli,
15,Jambi,GKP Tingkat Petani,2022,Juli,"6,23%"
32,Jawa Barat,GKP Tingkat Petani,2022,Juli,"3,82%"
33,Jawa Tengah,GKP Tingkat Petani,2022,Juli,"7,97%"
35,Jawa Timur,GKP Tingkat Petani,2022,Juli,"7,79%"
61,Kalimantan Barat,GKP Tingkat Petani,2022,Juli,
63,Kalimantan Selatan,GKP Tingkat Petani,2022,Juli,"19,89%"
62,Kalimantan Tengah,GKP Tingkat Petani,2022,Juli,"0,00%"
64,Kalimantan Timur,GKP Tingkat Petani,2022,Juli,
18,Lampung,GKP Tingkat Petani,2022,Juli,"4,81%"
52,Nusa Tenggara Barat,GKP Tingkat Petani,2022,Juli,"3,64%"
53,Nusa Tenggara Timur,GKP Tingkat Petani,2022,Juli,"1,02%"
14,Riau,GKP Tingkat Petani,2022,Juli,
76,Sulawesi Barat,GKP Tingkat Petani,2022,Juli,
73,Sulawesi Selatan,GKP Tingkat Petani,2022,Juli,"3,18%"
72,Sulawesi Tengah,GKP Tingkat Petani,2022,Juli,
74,Sulawesi Tenggara,GKP Tingkat Petani,2022,Juli,"1,46%"
71,Sulawesi Utara,GKP Tingkat Petani,2022,Juli,
13,Sumatera Barat,GKP Tingkat Petani,2022,Juli,"9,74%"
16,Sumatera Selatan,GKP Tingkat Petani,2022,Juli,"0,58%"
12,Sumatera Utara,GKP Tingkat Petani,2022,Juli,"7,99%"
11,Aceh,GKP Tingkat Petani,2022,Agustus,"6,90%"
51,Bali,GKP Tingkat Petani,2022,Agustus,"9,79%"
36,Banten,GKP Tingkat Petani,2022,Agustus,"5,72%"
17,Bengkulu,GKP Tingkat Petani,2022,Agustus,
34,D.I Yogyakarta,GKP Tingkat Petani,2022,Agustus,"4,50%"
75,Gorontalo,GKP Tingkat Petani,2022,Agustus,
15,Jambi,GKP Tingkat Petani,2022,Agustus,"7,33%"
32,Jawa Barat,GKP Tingkat Petani,2022,Agustus,"6,15%"
33,Jawa Tengah,GKP Tingkat Petani,2022,Agustus,"8,70%"
35,Jawa Timur,GKP Tingkat Petani,2022,Agustus,"9,88%"
61,Kalimantan Barat,GKP Tingkat Petani,2022,Agustus,"0,00%"
63,Kalimantan Selatan,GKP Tingkat Petani,2022,Agustus,"14,78%"
62,Kalimantan Tengah,GKP Tingkat Petani,2022,Agustus,"6,58%"
64,Kalimantan Timur,GKP Tingkat Petani,2022,Agustus,
18,Lampung,GKP Tingkat Petani,2022,Agustus,"3,51%"
52,Nusa Tenggara Barat,GKP Tingkat Petani,2022,Agustus,"8,71%"
53,Nusa Tenggara Timur,GKP Tingkat Petani,2022,Agustus,"6,00%"
14,Riau,GKP Tingkat Petani,2022,Agustus,
76,Sulawesi Barat,GKP Tingkat Petani,2022,Agustus,
73,Sulawesi Selatan,GKP Tingkat Petani,2022,Agustus,"4,94%"
72,Sulawesi Tengah,GKP Tingkat Petani,2022,Agustus,
74,Sulawesi Tenggara,GKP Tingkat Petani,2022,Agustus,"2,03%"
71,Sulawesi Utara,GKP Tingkat Petani,2022,Agustus,
13,Sumatera Barat,GKP Tingkat Petani,2022,Agustus,"12,92%"
